Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
250370405000001,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,275,754,2.74,2.08,1199.51,5338568.02,1273.61,5574900.5,725.8,2429216.62,997.61,3069072.82,NA
250370405000002,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,246,620,2.52,2.1,924.28,841926.24,997.25,835597.5,633.31,621660.36,862.77,648992.99,NA
250370405000003,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,191,579,3.03,2.97,2679.96,21588016.66,2722.73,21817287.3,1444.43,9812158.71,1970.66,12356301.01,NA
250370405000004,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,236,722,3.06,2.2,1620.85,3585420.84,1787.48,3656501.89,757.01,1749243.68,1303.46,2300919.41,NA
250370405000005,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,295,948,3.21,2.76,1150.38,1992707.16,1212.01,2024881.29,607.72,986164.17,929.39,1209586,NA
250370405000006,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,224,752,3.36,2.41,529.52,224033.95,621.01,205831.95,316.56,164652.09,551.35,157304.93,NA
250370405000007,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,291,852,2.93,2.03,579.42,437320.39,723.65,441827.2,394.18,373644.15,672.13,450457.6,NA
250370405000008,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,280,881,3.15,2.33,1024.13,2373857.83,1147.02,2518334.67,581.61,1142738,935.99,1508065.54,NA
250370405000009,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,283,925,3.27,2.46,2247.68,5474558.08,2330.01,5483287.59,1188.02,3221232.14,1714.2,3746862.08,NA
250370405000010,2,Região Nordeste,25,Paraiba,2501,Sertão Paraibano,25002,Cajazeiras,00,Municípios não pertencentes a estrutura de RM,2503704,CAJAZEIRAS,250370405,CAJAZEIRAS,25037040500,CAJAZEIRAS,2503704000,CAJAZEIRAS (todos os setores),1,0,204,664,3.25,2.29,2379.89,14572711.41,2452.01,14838819.51,1170.5,6325904.17,1724.35,8369091.95,NA
