ID,CD_GEOCODI,TIPO,CD_GEOCODB,NM_BAIRRO,CD_GEOCODS,NM_SUBDIST,CD_GEOCODD,NM_DISTRIT,CD_GEOCODM,NM_MUNICIP,NM_MICRO,NM_MESO
33843,250370405000001,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33844,250370405000002,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33845,250370405000003,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33846,250370405000004,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33847,250370405000005,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33848,250370405000006,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33849,250370405000007,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33850,250370405000008,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33851,250370405000009,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33852,250370405000010,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33853,250370405000011,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33854,250370405000012,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33855,250370405000013,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33856,250370405000014,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33857,250370405000015,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33858,250370405000016,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33859,250370405000017,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33860,250370405000018,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33861,250370405000019,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33862,250370405000020,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33863,250370405000021,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33864,250370405000022,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33865,250370405000023,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
33866,250370405000024,URBANO,,,25037040500,,250370405,CAJAZEIRAS,2503704,CAJAZEIRAS,CAJAZEIRAS,SERTÃO PARAIBANO
